UD1A 工業設計學系一年級A班
UD1B 工業設計學系一年級B班
UD2A 工業設計學系二年級A班
UD2B 工業設計學系二年級B班
UD3A 工業設計學系三年級A班
UD3B 工業設計學系三年級B班
UD3C 工業設計學系三年級C班
UD3D 工業設計學系三年級D班
UD4A 工業設計學系四年級A班
UD4B 工業設計學系四年級B班
UD4C 工業設計學系四年級C班
UD4D 工業設計學系四年級D班
UD5A 工業設計學系五年級A班
UD5B 工業設計學系五年級B班
UD6A 工業設計學系六年級A班
UD6B 工業設計學系六年級B班
UD7B 工業設計學系七年級B班
GD1. 工業設計研究所碩士班一年級
GD2. 工業設計研究所碩士班二年級
GD3. 工業設計研究所碩士班三年級
GD4. 工業設計研究所碩士班四年級
GD5. 工業設計研究所碩士班五年級
ED1. 工業設計研究所碩士在職專班一年級
ED2. 工業設計研究所碩士在職專班二年級
ED3. 工業設計研究所碩士在職專班三年級
ED4. 工業設計研究所碩士在職專班四年級
ED5. 工業設計研究所碩士在職專班五年級
ED6. 工業設計研究所碩士在職專班六年級
